"","country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Anguilla"
"8","Antarctica"
"9","Antigua & Barbuda"
"10","Argentina"
"11","Armenia"
"12","Aruba"
"13","Australia"
"14","Austria"
"15","Austria-Hungary"
"16","Azerbaijan"
"17","Baden"
"18","Bahamas"
"19","Bahrain"
"20","Bangladesh"
"21","Barbados"
"22","Bavaria"
"23","Belarus"
"24","Belgium"
"25","Belize"
"26","Benin"
"27","Bermuda"
"28","Bhutan"
"29","Bolivia"
"30","Bosnia & Herzegovina"
"31","Botswana"
"32","Bouvet Island"
"33","Brazil"
"34","British Indian Ocean Territory"
"35","British Virgin Islands"
"36","Brunei"
"37","Brunswick"
"38","Bulgaria"
"39","Burkina Faso"
"40","Burundi"
"41","Cambodia"
"42","Cameroon"
"43","Canada"
"44","Cape Verde"
"45","Caribbean Netherlands"
"46","Cayman Islands"
"47","Central African Republic"
"48","Chad"
"49","Channel Islands"
"50","Chile"
"51","China"
"52","Christmas Island"
"53","Cocos (Keeling) Islands"
"54","Colombia"
"55","Comoros"
"56","Congo - Brazzaville"
"57","Congo - Kinshasa"
"58","Cook Islands"
"59","Costa Rica"
"60","Croatia"
"61","Cuba"
"62","Curaçao"
"63","Cyprus"
"64","Czechia"
"65","Czechoslovakia"
"66","Côte d’Ivoire"
"67","Denmark"
"68","Djibouti"
"69","Dominica"
"70","Dominican Republic"
"71","Ecuador"
"72","Egypt"
"73","El Salvador"
"74","Equatorial Guinea"
"75","Eritrea"
"76","Estonia"
"77","Eswatini"
"78","Ethiopia"
"79","Falkland Islands"
"80","Faroe Islands"
"81","Fiji"
"82","Finland"
"83","France"
"84","French Guiana"
"85","French Polynesia"
"86","French Southern Territories"
"87","Gabon"
"88","Gambia"
"89","Georgia"
"90","German Democratic Republic"
"91","Germany"
"92","Ghana"
"93","Gibraltar"
"94","Greece"
"95","Greenland"
"96","Grenada"
"97","Guadeloupe"
"98","Guam"
"99","Guatemala"
"100","Guernsey"
"101","Guinea"
"102","Guinea-Bissau"
"103","Guyana"
"104","Haiti"
"105","Hamburg"
"106","Hanover"
"107","Heard & McDonald Islands"
"108","Hesse Electoral"
"109","Hesse Grand Ducal"
"110","Hesse-Darmstadt"
"111","Hesse-Kassel"
"112","Honduras"
"113","Hong Kong SAR China"
"114","Hungary"
"115","Iceland"
"116","India"
"117","Indonesia"
"118","Iran"
"119","Iraq"
"120","Ireland"
"121","Isle of Man"
"122","Israel"
"123","Italy"
"124","Jamaica"
"125","Japan"
"126","Jersey"
"127","Jordan"
"128","Kazakhstan"
"129","Kenya"
"130","Kiribati"
"131","Kosovo"
"132","Kuwait"
"133","Kyrgyzstan"
"134","Laos"
"135","Latvia"
"136","Lebanon"
"137","Lesotho"
"138","Liberia"
"139","Libya"
"140","Liechtenstein"
"141","Lithuania"
"142","Luxembourg"
"143","Macao SAR China"
"144","Madagascar"
"145","Malawi"
"146","Malaysia"
"147","Maldives"
"148","Mali"
"149","Malta"
"150","Marshall Islands"
"151","Martinique"
"152","Mauritania"
"153","Mauritius"
"154","Mayotte"
"155","Mecklenburg Schwerin"
"156","Mexico"
"157","Micronesia (Federated States of)"
"158","Modena"
"159","Moldova"
"160","Monaco"
"161","Mongolia"
"162","Montenegro"
"163","Montserrat"
"164","Morocco"
"165","Mozambique"
"166","Myanmar (Burma)"
"167","Namibia"
"168","Nassau"
"169","Nauru"
"170","Nepal"
"171","Netherlands"
"172","Netherlands Antilles"
"173","New Caledonia"
"174","New Zealand"
"175","Nicaragua"
"176","Niger"
"177","Nigeria"
"178","Niue"
"179","Norfolk Island"
"180","North Korea"
"181","North Macedonia"
"182","Northern Mariana Islands"
"183","Norway"
"184","Oldenburg"
"185","Oman"
"186","Orange Free State"
"187","Pakistan"
"188","Palau"
"189","Palestinian Territories"
"190","Panama"
"191","Papua New Guinea"
"192","Paraguay"
"193","Parma"
"194","Peru"
"195","Philippines"
"196","Piedmont-Sardinia"
"197","Pitcairn Islands"
"198","Poland"
"199","Portugal"
"200","Prussia"
"201","Puerto Rico"
"202","Qatar"
"203","Republic of Vietnam"
"204","Romania"
"205","Russia"
"206","Rwanda"
"207","Réunion"
"208","Saint Martin (French part)"
"209","Samoa"
"210","San Marino"
"211","Sardinia"
"212","Saudi Arabia"
"213","Saxe-Weimar-Eisenach"
"214","Saxony"
"215","Senegal"
"216","Serbia"
"217","Serbia and Montenegro"
"218","Seychelles"
"219","Sierra Leone"
"220","Singapore"
"221","Sint Maarten"
"222","Slovakia"
"223","Slovenia"
"224","Solomon Islands"
"225","Somalia"
"226","Somaliland"
"227","South Africa"
"228","South Georgia & South Sandwich Islands"
"229","South Korea"
"230","South Sudan"
"231","Spain"
"232","Sri Lanka"
"233","St. Barthélemy"
"234","St. Helena"
"235","St. Kitts & Nevis"
"236","St. Lucia"
"237","St. Pierre & Miquelon"
"238","St. Vincent & Grenadines"
"239","Stateless"
"240","Sudan"
"241","Suriname"
"242","Svalbard & Jan Mayen"
"243","Sweden"
"244","Switzerland"
"245","Syria"
"246","São Tomé & Príncipe"
"247","Taiwan"
"248","Tajikistan"
"249","Tanzania"
"250","Thailand"
"251","Tibet"
"252","Timor-Leste"
"253","Togo"
"254","Tokelau"
"255","Tonga"
"256","Trinidad & Tobago"
"257","Tunisia"
"258","Turkey"
"259","Turkmenistan"
"260","Turks & Caicos Islands"
"261","Tuscany"
"262","Tuvalu"
"263","Two Sicilies"
"264","U.S. Virgin Islands"
"265","Uganda"
"266","Ukraine"
"267","United Arab Emirates"
"268","United Arab Republic"
"269","United Kingdom"
"270","United Province CA"
"271","United States"
"272","United States Minor Outlying Islands (the)"
"273","Uruguay"
"274","Uzbekistan"
"275","Vanuatu"
"276","Vatican City"
"277","Venezuela"
"278","Vietnam"
"279","Wallis & Futuna"
"280","Western Sahara"
"281","Wuerttemburg"
"282","Würtemberg"
"283","Yemen"
"284","Yemen Arab Republic"
"285","Yemen People's Republic"
"286","Yugoslavia"
"287","Zambia"
"288","Zanzibar"
"289","Zimbabwe"
"290","Åland Islands"
"291","Africa"
"292","Asia"
"293","Europe"
"294","North America"
"295","South America"
"296","World"
"297","USA"
"298","Czech Republic"
"299","North & Central America"
